X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y (output)
69,11,3,3,3,17.8,850,3875,6831,0.57,56.52,113,360,115.8
30,7.5,3.2,2.8,3,16.5,225,1050,2016,0.52,35,35,315,101.4
33,4.5,3,3,2.5,15.6,148.5,469.46,1336.5,0.35,14.22,28.44,410,131.1
30,7.7,3.5,2.8,3,10.01,214,659,1969.8,0.33,21.66,43.33,465,118.3
21,7.7,3.8,3,2.5,10.09,140,525,1603.98,0.32,25,50,290,140.5
34,15,4.2,3.2,3,11.88,510,2800,6854.4,0.41,82.45,82.45,310,125.1
30,5.5,3.2,2.8,3,12.1,171,700,1568,0.45,23.33,23.33,400,116
44,8.4,3,2.5,3,11.09,262,875,1965,0.44,19.88,39.77,480,111.6
35,15,3,3,3,11.8,550,2750,4725,0.57,78.57,157.14,465,83.4
28,10,3.5,3,3,11.8,280,1275,2940,0.47,45.53,45.53,485,81.4
39,6,3,3,2.5,12.3,234,1025,1944,0.52,26.28,52.56,302,119.9
36,10.3,3.2,2.8,3,22.12,267,1350,2392.32,0.56,37.5,37.5,400,116
105,5,3.2,2.5,3,23.74,889,4333.3,7965,0.54,41.26,82.54,470,119.1
30,15,4,3,3,23.74,450,2500,5400,0.46,83.33,83.33,370,122
20,6.5,3.5,2.8,3,24.01,130,600,1274,0.47,30,60,280,119.6
61,8,4,3,3,24.3,488,2400,5856,0.41,39.34,78.68,400,121.5
40,9.5,3,3,3.5,10.1,300,1250,2610,0.47,31.25,62.5,380,112
70,70,4,2.8,2.5,10.9,420,2000,4704,0.42,28.57,57.14,470,124.3
30,15,4,3,3,11,450,2500,5400,0.46,83.33,83.33,480,120
35,12.5,3,3,2.5,11.74,175,575,1575,0.36,16.42,32.84,480,112.7
25,25,3.2,3,3,11.84,224.18,1080,2152.12,0.51,43.22,86.44,390,110
27,10,3.2,2.8,3,11.84,270,1375,2419.2,0.57,50.9,101.8,370,122
30,6.5,3.2,2.8,3,10.9,195,975,1747.2,0.56,32.5,64.6,300,119
25,13.8,3.2,2.8,3,7.9,183.75,825,1646.4,0.51,33,33,490,118
21,11.5,3.5,3,3,8.4,236.25,1250,2535.75,0.49,58.38,116.76,385,97.4
75,15,3,3,3,8.4,1125,5885,10125,0.58,78.47,156.94,430,115.9
28,8,3.2,3,3,7.3,224,1300,2150.4,0.6,46.43,92.86,330,99.5
16,12.8,3.2,3,3,7.606666667,209,975,206.4,0.49,60.94,121.88,383,119.1
33,11.1,4,3,3,7.606666667,510,2250,4212,0.53,68.18,136.36,430,125.3
24,7.5,3.2,3,3,8.61,180,925,1728,0.54,38.54,77.08,410,123.3
32,15,3.1,3.5,3,11.32,480,3075,5208,0.59,96.1,192.2,391,93.3
39,8.5,3.5,3,3,10.12,331,1750,3480,0.5,44.87,89.74,490,116.9
24,6,3,3,3,10.21,144,600,1296,0.46,25,50,350,124.2
58,7,4,3,3,10.85,406,2075,4872,0.42,35.77,71.55,460,125.2
30,15,3.5,3.2,3,10.94,450,2650,5040,0.53,88.33,176.66,385,99.4
43,7.5,3.2,3,3,11.28,322,1700,3096,0.59,42.5,42.5,340,112.9
32,15,4.2,3.2,3,11.48,480,2800,6451,0.43,87.5,87.5,410,78.7
48,"4,7",3.5,3,3,11.59,264,1000,2772,0.36,20.83,41.66,410,93.6
33,7,3,3,3,9.13,231,900,2079,0.43,27.27,27.27,380,90.1
32,8,3,3,3.5,8.16,256,1325,2304,0.57,41.4,41.4,310,99.4
40,6.5,3.2,2.8,3,8.25,250,1050,2329,0.45,26.25,52.5,320,97.8
22,15,3.5,3.2,3,9.34,330,2125,3696,0.57,96.59,193.18,370,118.1
77,"6,8",3.2,2.8,3,14.59,566,2150,5071,0.42,27.92,27.92,380,107.5
54,15,3.5,3.2,3,15.74,810,4625,9072,0.5,85.64,85.64,540,127.3
28,6,3.2,2.8,3,16.13,168,800,1505,0.53,28.6,28.6,340,100
37,7.5,3.2,3,3,9,277,1250,2664,0.47,33.8,33.8,340,100
